modelo,tarea,split,feature_set,accuracy_train,accuracy_test,n_train,n_test,r2_train,r2_test,mae_test,rmse_test
RandomForest,clasificacion,filas,descriptores,0.7758142758142759,0.7576177285318559,,,,,,
SVM_RBF,clasificacion,filas,descriptores,0.7661122661122661,0.7520775623268698,,,,,,
RandomForest,clasificacion,compuesto,descriptores,0.764265668849392,0.3790523690773067,,,,,,
SVR_RBF,regresion,filas,descriptores,,,2886.0,722.0,0.47364679341821014,0.4996334583701153,0.816289970168177,1.109230058350091
RandomForest,regresion,filas,descriptores,,,2886.0,722.0,0.5081816180479952,0.5096533746416196,0.835797337709066,1.0980676429791292
SVR_RBF,regresion,compuesto,descriptores,,,3207.0,401.0,0.46518746337342387,-1.0252939760189643,1.9916600779894738,2.3073315602606925
RandomForest,regresion,compuesto,descriptores,,,3207.0,401.0,0.4995518846546867,0.03222720304233173,1.4259198516459768,1.594970578269263
SVR_RBF,regresion,filas,descriptores+ensayo,,,2886.0,722.0,0.6259076546882363,0.574239257090807,0.6833508942432922,1.0231994697227984
RandomForest,regresion,filas,descriptores+ensayo,,,2886.0,722.0,0.722436252899042,0.6152379143403843,0.6731983327649672,0.972688170137401
SVR_RBF,regresion,compuesto,descriptores+ensayo,,,3207.0,401.0,0.6189858933297538,-0.243642424443969,1.5056451702240154,1.8080637346813815
RandomForest,regresion,compuesto,descriptores+ensayo,,,3207.0,401.0,0.7075037693199766,0.1686173241151957,1.2460670981438602,1.4783132052040888
